,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
252,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
253,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
254,Paamiut,61.99,-49.67,36.75,86,100,14.12,GL,1603221472
255,Port Macquarie,-31.43,152.92,54.0,99,5,4.09,AU,1603221806
256,Cidreira,-30.18,-50.21,72.03,80,16,9.8,BR,1603221386
257,Vanavara,60.34,102.28,22.05,98,81,3.67,RU,1603221842
258,Lima,-12.04,-77.03,68.0,68,75,9.17,PE,1603221603
259,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
260,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
261,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
262,Kandrian,-6.22,149.55,76.51,85,100,3.71,PG,1603221869
263,Vaini,-21.2,-175.2,73.4,69,20,8.05,TO,1603221365
264,Taltal,-25.4,-70.48,66.51,59,22,7.14,CL,1603221759
265,Hithadhoo,-0.6,73.08,82.85,78,99,13.06,MV,1603221361
266,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
267,Øksfjord,70.24,22.35,35.6,94,20,6.93,NO,1603221727
268,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
269,Ossora,59.24,163.07,35.38,87,100,7.83,RU,1603221870
270,Impfondo,1.64,18.07,72.37,95,24,2.46,CG,1603221871
271,Sinnamary,5.38,-52.95,85.21,64,100,14.41,GF,1603221472
272,New Norfolk,-42.78,147.06,52.0,71,100,1.92,AU,1603221372
273,Avarua,-21.21,-159.78,75.2,94,36,8.05,CK,1603221373
274,Hofn,64.25,-15.21,37.17,73,0,5.93,IS,1603221778
275,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
276,Port Lincoln,-34.73,135.87,56.77,86,5,9.84,AU,1603221386
277,Ponta do Sol,32.67,-17.1,68.0,64,20,3.36,PT,1603221393
278,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
279,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
280,Saint-Philippe,-21.36,55.77,72.0,78,20,2.24,RE,1603221382
281,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
282,Sitka,57.05,-135.33,42.8,87,40,1.61,US,1603221384
283,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
284,Tasiilaq,65.61,-37.64,32.0,94,75,17.22,GL,1603221397
285,Saint-Philippe,-21.36,55.77,72.0,78,20,2.24,RE,1603221382
286,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
287,Ancud,-41.87,-73.82,53.6,52,0,10.29,CL,1603221415
288,Touros,-5.2,-35.46,86.0,58,40,14.99,BR,1603221383
289,Vardø,70.37,31.11,37.4,74,40,11.41,NO,1603221824
290,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
291,Flinders,-34.58,150.86,61.0,89,7,1.01,AU,1603221816
292,Chumikan,54.72,135.31,32.56,87,100,1.61,RU,1603221875
293,Bouar,5.93,15.6,69.57,74,26,4.14,CF,1603221875
294,San Cristobal,7.77,-72.22,87.8,58,40,13.87,VE,1603221501
295,Tegul'det,57.31,88.17,34.63,97,100,5.75,RU,1603221876
296,Heraclea,37.51,34.05,59.11,51,100,1.3,TR,1603221876
297,Dikson,73.51,80.55,21.45,96,100,5.37,RU,1603221386
298,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
299,Longyearbyen,78.22,15.64,23.0,79,2,5.82,SJ,1603221081
300,Marsá Maţrūḩ,31.35,27.25,75.2,78,40,11.41,EG,1603221737
301,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
302,Barrow,71.29,-156.79,28.4,79,90,11.41,US,1603221198
303,Klaksvík,62.23,-6.59,39.2,71,65,5.82,FO,1603221404
304,College,64.86,-147.8,18.0,78,90,0.78,US,1603221744
305,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
306,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
307,Green River,41.53,-109.47,57.2,33,1,26.4,US,1603221654
308,Andenes,69.31,16.12,26.6,86,0,2.24,NO,1603221878
309,Vaini,-21.2,-175.2,73.4,69,20,8.05,TO,1603221365
310,Bredasdorp,-34.53,20.04,53.6,76,0,2.24,ZA,1603221383
311,Cherskiy,68.75,161.3,19.45,96,90,5.55,RU,1603221407
312,Pangnirtung,66.15,-65.71,30.2,68,90,8.05,CA,1603221489
313,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
314,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
315,Grindavik,63.84,-22.43,37.4,74,75,1.12,IS,1603221386
316,Poum,-20.23,164.02,73.89,71,0,5.48,NC,1603221454
317,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
318,Cherskiy,68.75,161.3,19.45,96,90,5.55,RU,1603221407
319,Mount Gambier,-37.83,140.77,46.4,93,90,3.18,AU,1603221212
320,Salalah,17.02,54.09,80.6,54,22,3.36,OM,1603221328
321,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
322,Noumea,-22.28,166.46,75.0,82,4,1.12,NC,1603221880
323,Kattivākkam,13.22,80.32,78.8,94,40,6.93,IN,1603221880
324,Lichinga,-13.31,35.24,69.8,60,2,9.17,MZ,1603221881
325,Kuopio,62.89,27.68,30.2,80,90,8.05,FI,1603221881
326,Esperance,-33.87,121.9,57.2,100,90,10.29,AU,1603221065
327,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
328,Saint Paul Harbor,57.79,-152.41,44.6,52,1,9.17,US,1603221362
329,Mar del Plata,-38.0,-57.56,59.0,58,0,13.87,AR,1603221376
330,Capinzal,-27.34,-51.61,82.94,44,99,1.48,BR,1603221882
331,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
332,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
333,La Ronge,55.1,-105.28,26.6,63,75,4.7,CA,1603221372
334,Mar del Plata,-38.0,-57.56,59.0,58,0,13.87,AR,1603221376
335,Hobart,-42.88,147.33,53.6,81,75,3.36,AU,1603221300
336,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
337,Khatanga,71.97,102.5,6.96,95,83,8.01,RU,1603221372
338,Salalah,17.02,54.09,80.6,54,22,3.36,OM,1603221328
339,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
340,Ribeira Grande,38.52,-28.7,62.6,63,40,8.05,PT,1603221366
341,Yablonovo,50.85,37.36,41.0,73,0,8.95,RU,1603221884
342,Daşoguz,41.84,59.97,50.0,34,0,4.7,TM,1603221884
343,Centralia,46.72,-122.95,59.0,72,1,3.53,US,1603221884
344,Ulfborg,56.27,8.32,51.01,78,100,4.0,DK,1603221884
345,Laguna,38.42,-121.42,82.0,26,5,3.36,US,1603221362
346,Krasnoarmiys'k,48.28,37.18,44.28,65,93,7.34,UA,1603221795
347,Kruisfontein,-34.0,24.73,55.99,83,0,6.31,ZA,1603221433
348,Pozo Colorado,-23.49,-58.8,98.51,28,99,5.37,PY,1603221885
349,Hobart,-42.88,147.33,53.6,81,75,3.36,AU,1603221300
350,Husavik,66.04,-17.34,28.4,86,99,2.33,IS,1603221374
351,Bubaque,11.28,-15.83,82.87,80,15,11.77,GW,1603221472
352,Port Elizabeth,-33.92,25.57,59.0,77,20,5.82,ZA,1603221350
353,Thompson,55.74,-97.86,30.2,63,90,3.36,CA,1603221392
354,Kapaa,22.08,-159.32,77.0,88,75,10.29,US,1603221180
355,Bredasdorp,-34.53,20.04,53.6,76,0,2.24,ZA,1603221383
356,Gossaigaon,26.45,89.99,73.9,86,0,4.25,IN,1603221887
357,Sattahip,12.67,100.9,77.0,83,40,6.93,TH,1603221887
358,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
359,Oistins,13.07,-59.53,87.8,66,40,11.41,BB,1603221887
360,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
361,Muros,42.78,-9.06,60.01,85,100,4.0,ES,1603221366
362,Bohmte,52.37,8.32,55.0,88,100,3.0,DE,1603221888
363,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
364,Nemuro,43.32,145.57,50.04,69,31,1.25,JP,1603221193
365,Geraldton,-28.77,114.6,66.2,72,90,16.11,AU,1603221384
366,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
367,Lodja,-3.48,23.43,71.94,91,72,1.3,CD,1603221455
368,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
369,Vardø,70.37,31.11,37.4,74,40,11.41,NO,1603221824
370,Whitefish,48.41,-114.34,46.99,75,1,3.29,US,1603221889
371,Esperance,-33.87,121.9,57.2,100,90,10.29,AU,1603221065
372,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
373,Lebu,-37.62,-73.65,53.8,63,0,19.82,CL,1603221395
374,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
375,Yuci,37.68,112.73,48.2,21,0,11.18,CN,1603221890
376,Nizhniy Kuranakh,58.84,125.49,24.91,97,100,3.44,RU,1603221372
377,Winfield,37.24,-97.0,54.0,81,90,6.93,US,1603221675
378,Poso,-1.4,120.75,81.0,66,88,4.79,ID,1603221891
379,Geraldton,-28.77,114.6,66.2,72,90,16.11,AU,1603221384
380,Chui,-33.7,-53.46,55.24,82,100,15.64,UY,1603221404
381,Kirakira,-10.45,161.92,78.84,79,100,11.39,SB,1603221442
382,Okhotsk,59.38,143.3,24.8,81,100,11.07,RU,1603221375
383,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
384,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
385,Kainantu,-6.29,145.87,61.25,96,100,0.98,PG,1603221433
386,Narsaq,60.92,-46.05,37.4,86,75,4.7,GL,1603221382
387,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
388,Talnakh,69.49,88.4,6.8,84,75,4.47,RU,1603221815
389,Garmsār,35.22,52.34,65.03,28,0,7.67,IR,1603221893
390,Chui,-33.7,-53.46,55.24,82,100,15.64,UY,1603221404
391,Carutapera,-1.2,-46.02,86.31,60,34,11.16,BR,1603221853
392,Saint-Philippe,-21.36,55.77,72.0,78,20,2.24,RE,1603221382
393,Hobart,-42.88,147.33,53.6,81,75,3.36,AU,1603221300
394,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
395,Abu Dhabi,24.47,54.37,82.4,65,0,5.82,AE,1603221894
396,Nanortalik,60.14,-45.24,37.69,86,100,4.76,GL,1603221384
397,Mount Gambier,-37.83,140.77,46.4,93,90,3.18,AU,1603221212
398,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
399,Upernavik,72.79,-56.15,33.28,86,100,6.85,GL,1603221371
400,George Town,5.41,100.34,80.6,94,20,3.36,MY,1603221138
401,San Patricio,28.02,-97.52,88.0,62,20,13.87,US,1603221394
402,Ardeşen,41.19,40.99,60.8,93,75,8.05,TR,1603221895
403,Kaitangata,-46.28,169.85,50.0,83,100,1.99,NZ,1603221386
404,Isangel,-19.55,169.27,71.6,88,75,10.27,VU,1603221453
405,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
406,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
407,Pingdu,36.78,119.95,64.4,68,100,6.71,CN,1603221896
408,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
409,New Norfolk,-42.78,147.06,52.0,71,100,1.92,AU,1603221372
410,Baker City,44.77,-117.83,55.4,50,1,3.36,US,1603221897
411,Kahului,20.89,-156.47,84.2,58,20,6.93,US,1603221849
412,Dabakala,8.37,-4.43,77.41,81,44,2.33,CI,1603221897
413,Barrow,71.29,-156.79,28.4,79,90,11.41,US,1603221198
414,Nuevo Progreso,23.17,-97.95,89.01,55,34,8.99,MX,1603221898
415,Qaanaaq,77.48,-69.36,21.38,84,0,6.96,GL,1603221359
416,Kimbe,-5.55,150.14,74.61,85,100,3.83,PG,1603221461
417,Pilar,-9.6,-35.96,82.4,65,40,14.99,BR,1603221807
418,Markova,48.68,24.41,37.4,93,0,4.81,UA,1603221899
419,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
420,Thompson,55.74,-97.86,30.2,63,90,3.36,CA,1603221392
421,Arraial do Cabo,-22.97,-42.03,78.8,69,0,16.11,BR,1603221394
422,Tasiilaq,65.61,-37.64,32.0,94,75,17.22,GL,1603221397
423,Sinnamary,5.38,-52.95,85.21,64,100,14.41,GF,1603221472
424,Kapaa,22.08,-159.32,77.0,88,75,10.29,US,1603221180
425,Bredasdorp,-34.53,20.04,53.6,76,0,2.24,ZA,1603221383
426,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
427,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
428,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
429,Castro,-24.79,-50.01,79.97,48,16,1.7,BR,1603221373
430,Bonthe,7.53,-12.51,78.94,82,100,7.07,SL,1603221385
431,Jiancheng,30.39,104.55,62.01,93,99,2.24,CN,1603221901
432,Garmsār,35.22,52.34,65.03,28,0,7.67,IR,1603221893
433,Cidreira,-30.18,-50.21,72.03,80,16,9.8,BR,1603221386
434,Esperance,-33.87,121.9,57.2,100,90,10.29,AU,1603221065
435,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
436,Chui,-33.7,-53.46,55.24,82,100,15.64,UY,1603221404
437,Bengkulu,-3.8,102.27,77.05,80,100,3.49,ID,1603221383
438,Spassk-Ryazanskiy,54.41,40.38,35.01,79,83,10.33,RU,1603221903
439,Mandan,46.83,-100.89,35.6,100,75,6.93,US,1603221833
440,Hithadhoo,-0.6,73.08,82.85,78,99,13.06,MV,1603221361
441,Lincoln,40.8,-96.67,44.01,81,90,6.93,US,1603221903
442,Sciacca,37.51,13.09,60.01,63,0,1.99,IT,1603221903
443,Alice Springs,-23.7,133.88,69.8,77,0,9.17,AU,1603221170
444,Jalu,29.03,21.55,73.94,54,0,12.59,LY,1603221481
445,Ust'-Ordynskiy,52.8,104.75,21.2,92,100,4.47,RU,1603221904
446,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
447,Chippewa Falls,44.94,-91.39,32.0,92,90,3.36,US,1603221902
448,Armação de Pêra,37.1,-8.36,62.6,93,40,13.87,PT,1603221905
449,Airai,-8.93,125.41,60.4,74,100,1.34,TL,1603221374
450,Thakurgaon,26.03,88.47,75.85,76,3,3.89,BD,1603221905
451,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
452,Aginskoye,51.1,114.53,24.6,85,0,18.14,RU,1603221905
453,Mossamedes,-15.2,12.15,69.53,80,90,4.09,AO,1603221364
454,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
455,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
456,Sitka,57.05,-135.33,42.8,87,40,1.61,US,1603221384
457,Arraial do Cabo,-22.97,-42.03,78.8,69,0,16.11,BR,1603221394
458,Cidreira,-30.18,-50.21,72.03,80,16,9.8,BR,1603221386
459,Glace Bay,46.2,-59.96,66.99,77,90,18.34,CA,1603221907
460,Ust'-Ilimsk,58.0,102.66,26.42,98,87,4.9,RU,1603221435
461,Lavrentiya,65.58,-171.0,36.86,91,100,13.22,RU,1603221823
462,Bredasdorp,-34.53,20.04,53.6,76,0,2.24,ZA,1603221383
463,Sampit,-2.53,112.95,74.77,96,33,0.78,ID,1603221907
464,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
465,Vaini,-21.2,-175.2,73.4,69,20,8.05,TO,1603221365
466,Pont-Audemer,49.35,0.52,59.0,87,100,12.75,FR,1603221908
467,Buin,-33.73,-70.75,82.4,23,0,9.17,CL,1603221908
468,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
469,Lebu,-37.62,-73.65,53.8,63,0,19.82,CL,1603221395
470,Arman',59.7,150.17,27.43,83,66,4.99,RU,1603221909
471,Panjāb,34.39,67.02,32.95,78,0,4.99,AF,1603221909
472,East London,-33.02,27.91,60.8,77,20,13.87,ZA,1603221392
473,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
474,Novokruchininskiy,51.78,113.77,24.8,58,20,6.71,RU,1603221910
475,Lompoc,34.64,-120.46,64.4,82,90,4.7,US,1603221755
476,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
477,Paamiut,61.99,-49.67,36.75,86,100,14.12,GL,1603221472
478,Provideniya,64.38,-173.3,40.35,95,100,14.76,RU,1603221375
479,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
480,Shuangcheng,45.35,126.28,57.2,62,100,15.66,CN,1603221911
481,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
482,Vaini,-21.2,-175.2,73.4,69,20,8.05,TO,1603221365
483,Talā,30.68,30.94,71.08,86,0,9.22,EG,1603221912
484,Araouane,18.9,-3.53,91.26,12,0,6.55,ML,1603221794
485,Chokurdakh,70.63,147.92,13.87,97,91,2.24,RU,1603221414
486,Hobart,-42.88,147.33,53.6,81,75,3.36,AU,1603221300
487,Forbes,-33.38,148.02,52.9,89,100,5.12,AU,1603221912
488,Sooke,48.37,-123.73,55.0,87,75,3.36,CA,1603221758
489,Tomatlán,19.93,-105.25,88.41,65,72,6.8,MX,1603221913
490,New Norfolk,-42.78,147.06,52.0,71,100,1.92,AU,1603221372
491,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
492,Mayo,38.89,-76.51,73.0,93,1,10.29,US,1603221913
493,Broome,42.25,-75.83,57.99,93,90,8.05,US,1603221384
494,Bathsheba,13.22,-59.52,87.8,66,75,13.87,BB,1603221455
495,New Norfolk,-42.78,147.06,52.0,71,100,1.92,AU,1603221372
496,Cam Ranh,11.92,109.16,82.4,83,40,1.12,VN,1603221637
497,Sitka,57.05,-135.33,42.8,87,40,1.61,US,1603221384
498,Kenai,60.55,-151.26,34.0,92,1,3.96,US,1603221847
499,Chokurdakh,70.63,147.92,13.87,97,91,2.24,RU,1603221414
500,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
501,Bengkulu,-3.8,102.27,77.05,80,100,3.49,ID,1603221383
502,Anchorage,61.22,-149.9,30.0,74,1,2.75,US,1603221788
503,Thompson,55.74,-97.86,30.2,63,90,3.36,CA,1603221392
